# SEMANTIC_TRAPS.tsv — the Rust(bun)→LOGOS divergence taxonomy (PORT.2)
# STATUS: FROZEN 2026-07-13 — post-review; edits require an incident.
#
# The analog of a regression taxonomy: every row is code that is SYNTACTICALLY SIMILAR but
# SEMANTICALLY DIFFERENT, where a mechanical port silently breaks. Each row names a CONCRETE
# fuzz-generator focus (§8) — the P2+ fuzz batteries target exactly these.
#
# SOURCE LANGUAGE (re-grounded 2026-07-13): the port source is now the RUST rewrite of bun
# (thesis "Rust→LOGOS"), vendored at vendor/bun/src (1516 .rs). NOT the earlier Zig 1.3.14
# pass. Rust shifts several traps vs Zig, and every bun-shape below cites a real Rust
# file:line. The LOGOS-side semantics are UNCHANGED from the prior pass (verified + reusable);
# only the bun-shape and the divergences Rust changes were rewritten.
#
# HOW RUST MOVES THE TRAPS (vs the old Zig grounding):
#   • Integer overflow — Rust DEBUG builds PANIC on `+`/`*`/`-` overflow; RELEASE builds WRAP
#     (2's complement). Zig panicked in safe builds and needed `+%`/`*%` to wrap. So bun's Rust
#     hashing relies on RELEASE-wrap or EXPLICIT `wrapping_mul`/`u128`/`as` casts — never plain
#     `+` in a hot wrapping loop. The trap vs LOGOS `Int` (exact, promotes to BigInt, NEVER wraps)
#     STANDS; the Rust shape to look for is `wrapping_mul` / `u64`/`u32` / `as` truncating casts.
#   • usize underflow — Rust `len - 1` on 0 PANICS in debug, WRAPS to usize::MAX in release. bun's
#     Rust code defends with `saturating_sub(...)` PRECISELY because of this; a `- 1` with no
#     saturating guard is the landmine. LOGOS `length of xs` is signed exact `Int` → clean `-1`.
#   • Error handling — Rust `Result<T,E>` + the `?` operator (not Zig error unions). `?` is an
#     INVISIBLE early return: `self.lexer.next()?` silently unwinds the whole parse on Err. LOGOS
#     has no `?`/`Result`; a mechanical port that drops the `?` loses the early-exit control flow.
#   • Strings — Rust is now 3-way: `String`/`&str` (UTF-8), `&[u8]` byte parsing (the lexers work
#     on `&[u8]`), and bun's WTF-16 JS strings (`&[u16]`, `String::borrow_utf16`, lone surrogates
#     via `encode_wtf8_rune`). LOGOS `Text` = Rust `String` = UTF-8 codepoints (a FOURTH basis).
#   • Recursion depth — bun's Rust parsers no longer use a fixed depth COUNTER; they probe the real
#     stack pointer via `StackCheck::is_safe_to_recurse()` (128K/256K headroom) and return
#     `crate::Error::StackOverflow` (→ JS RangeError at the boundary). The TOML nesting test grew
#     from 25 000 to 200 000. LOGOS uses a FIXED counter (DEFAULT_MAX_AST_DEPTH=128) — a different
#     mechanism, and a ported .lg parser gets NO guard for free.
#
# COLUMNS (tab-separated):
#   TRAP-ID     stable id (TRAP-NN), referenced by fuzz batteries + the ledger
#   class       the trap class (matches the §7 named classes + discovered extras)
#   bun-shape   the bun/Rust code shape that hits it (with vendor/bun/... citation)
#   logos-shape the LOGOS construct a mechanical port would map it to (with vendor/logicaffeine/... citation)
#   divergence  WHAT breaks — the concrete semantic gap. "UNVERIFIED" = claim not traced to a line.
#   fuzz-focus  the concrete §8 generator focus that targets this trap
#   example     a minimal concrete case that exercises the divergence
#
# CITATION KEY: paths are relative to repo root. bun/... = vendor/bun/... ; lg/... = vendor/logicaffeine/...
# VERIFIED claims (traced to a cited line) are the default; anything speculative says UNVERIFIED inline.
TRAP-01	index-1based	bun/src/parsers/json.rs:551 `match contents[0] {` and :596 `if contents[0] == b'-'` — 0-based byte access, first element at index 0 (pervasive: js_parser/p.rs:5222 `find_symbol(loc, parts[0])`)	`item i of xs` / `xs[i]` — 1-based; codegen lowers `item i` to `xs[(i-1) as usize]` (lg/crates/logicaffeine_compile/src/codegen/stmt.rs bounds hints; LOGOS_QUICKGUIDE.md "item 1 … is the first element")	Every bun `arr[0]` is the first element; the same `xs[0]` in LOGOS lowers to `xs[(0-1) as usize]` → usize underflow to a huge index → panic/OOB. A mechanical loop `for i in 0..n { arr[i] }` reads one-past and misses element 0. Rust `contents[0]` itself panics on empty (bounds check always runs, even in release), so bun's callers prove non-empty first — that proof must survive the port as an explicit guard.	index-boundary generation: emit accesses at 0, 1, len-1, len, len+1 against sequences of length 0/1/2/n; assert first-element = `item 1`	`Let xs be [10,20,30].` → bun `contents[0]`==10 but LOGOS `xs[0]` underflows; `xs[1]`==10
TRAP-02	index-1based	bun/src/js_parser/p.rs:5222 `let result = self.find_symbol(loc, parts[0])?;` + :6733 `strings::eql(name, &parts[0])` + p.rs:8482 `args[0] = Arg {` — literal `[0]` first-element grab in parser hot paths	`item 0 of xs` is a COMPILE ERROR (lg/crates/logicaffeine_language/src/parser/mod.rs:1509 ParseErrorKind::ZeroIndex; lg/crates/logicaffeine_language/src/error.rs:448 "This asks for item 0, but LOGOS indices start at 1"; NB the error lives in language/src/error.rs — there is no parser/error.rs)	A literal `[0]` in bun (extremely common: `parts[0]`, `args[0]`, `items[0]`) has no direct LOGOS spelling — `item 0` won't compile, `xs[0]` underflows. The port MUST rewrite `[0]`→`item 1` and every `[k]`→`item (k+1)`; a missed constant off-by-one is silent for k≥1. Rust's `?` on the same line (TRAP-17) compounds it: the port loses BOTH the +1 and the early return.	literal-zero-index census: for each ported parser, generate inputs that drive the exact `[0]`/`[const]` site and diff against oracle	bun `find_symbol(loc, parts[0])` → LOGOS must read `item 1 of parts`, not `item 0`
TRAP-03	int-wrapping	bun/src/wyhash/lib.rs:66-70 `mum`: `let mut r = (a as u128) * (b as u128); r = (r >> 64) ^ r; r as u64` + :573 `let x = (*a as u128).wrapping_mul(*b as u128); *a = x as u64` — deliberate 128→64 truncating hash arithmetic; RELEASE wrap / explicit `wrapping_mul`	Mapping the hash accumulator to LOGOS `Int` (lg/crates/logicaffeine_data/src/types.rs:29 `pub type Int = i64;`), whose runtime arithmetic is EXACT and PROMOTES to BigInt on i64 overflow (lg/crates/logicaffeine_compile/src/semantics/arith.rs:443-446 "on i64 overflow it promotes to BigInt instead of wrapping")	Rust wyhash truncates in ℤ/2⁶⁴ via `as u64` / `wrapping_mul`; LOGOS `Int` does NOT wrap — it silently grows to arbitrary precision, so the digest diverges the instant any intermediate would have overflowed 2⁶⁴. The CORRECT LOGOS target is a `Word64` (lg/crates/logicaffeine_base/src/word.rs:1 "the ring ℤ/2ᵏℤ … total and wrapping: Word32::MAX.add(ONE)==ZERO"). Port must use Word*, never Int, for any wrapping algorithm. NOTE Rust-specific: a plain `*` here would PANIC in debug — bun uses `wrapping_mul`/`u128` on purpose; that is the tell.	near-MAX/MIN arithmetic: feed hash/parse inputs whose accumulators cross 2⁶⁴/2³²; differential Wyhash::hash(bytes) LOGOS-Word64 vs bun (test vectors at wyhash/lib.rs:998); assert bit-exact	`Wyhash::hash(0,"abc")` = 0x32dd… (wyhash/lib.rs:1011): every `mum` truncates to u64; LOGOS-Int promotes to BigInt → wrong digest
TRAP-04	int-truncate	bun/src/parsers/toml/lexer.rs:449-451 `let mut number: u32 = 0; for &c in text { number = number * 10 + u32::from(c - b'0'); }` — digit accumulation into a fixed-width u32 (fast integer path)	LOGOS numeric literal parse into `Int` (arith.rs:443 exact-promote) or into `Word32` (word.rs wrapping)	If ported to Int: no overflow at all (grows to BigInt) — an integer that bun would wrap/mis-parse as u32-overflow is accepted at full precision; if ported to Word32: wraps silently where Rust `number * 10` PANICS in a DEBUG build on overflow (RELEASE wraps). Three-way outcome from one site: debug-panic / release-wrap / LOGOS-BigInt. The port must choose the width AND overflow policy the grammar actually intends. bun guards this path with `self.end - self.start < 10` (lexer.rs:447) so u32 can't overflow — that ≤9-digit guard is invisible-to-port and must be carried.	near-MAX/MIN + overflow-boundary literals: generate integer literals at u32/u64/i64 max±1 and 2^53±1 for each numeric parser; diff parse-or-reject; hit the `< 10` digit guard exactly	`4294967296` (2³², 10 digits): bun takes the double path (guard fails) → 4294967296.0; a naive port to the u32 loop wraps to 0
TRAP-05	int-div-zero	bun/src/wyhash/lib.rs:311 `let aligned_len = input.len() - (input.len() % 32);` + :515 `let quarter = (input.len() >> 3) << 2;` and any `a / b` / `a % b` on usize	LOGOS `Divide`/modulo returns Result Err on b==0 (lg/crates/logicaffeine_compile/src/semantics/arith.rs:850,865,873 `return Err("Division by zero")`); `/` truncates toward zero, `//` floors (resolve_division)	Rust `/` and `%` on a zero divisor PANIC ("attempt to divide by zero") in BOTH debug and release — a hard, uncatchable abort; LOGOS raises a CATCHABLE error, never a panic. Behavior at the boundary i64::MIN/-1 also differs: Rust `i64::MIN / -1` panics with overflow, LOGOS promotes to BigInt 2⁶³ (arith.rs:875-876). Truncate-vs-floor on negatives is a separate silent gap: LOGOS `/`==trunc, `//`==floor — pick the wrong operator and negatives diverge.	div-by-zero + negative-div + MIN/-1: generate operand pairs {0 divisor, negative/negative, i64::MIN ÷ -1}; diff result-or-error	`-7 / 2`: LOGOS `/`→-3 (trunc), `//`→-4 (floor); i64::MIN/-1: Rust panics, LOGOS→BigInt 9223372036854775808
TRAP-06	usize-underflow	bun/src/parsers/json.rs:542 `unescaped[n - 2] == b'\\' && unescaped[n - 1] == quote` (guarded by `n >= 3`) — and the DEFENSIVE `saturating_sub` shapes bun uses BECAUSE of underflow: toml/lexer.rs:918 `(iter.i as usize + width2 as usize).saturating_sub(2)`, :993/:1010 `(start + iter.i as usize).saturating_sub(width2 as usize)`	LOGOS `length of xs` yields `Int` (arith exact); `length of xs - 1` computes in signed exact arithmetic → `-1`, no wrap	Rust `usize` `len - 1` with `len==0` PANICS in debug ("attempt to subtract with overflow") and WRAPS to 18446744073709551615 in release — which is why bun litters the escape-decode paths with `saturating_sub`; a bare `- 1` that bun left unguarded is a real landmine. LOGOS `Int` gives a clean `-1`, which then either (a) becomes `item 0`→ZeroIndex compile err, or (b) `item -1`→underflow at `(−1−1) as usize`. The `saturating_sub` clamp-to-0 has NO LOGOS equivalent unless ported explicitly — LOGOS just yields the true negative. Empty-input paths are the trigger.	empty-and-length-1 inputs: for every `len-1`/`saturating_sub` port site, drive length 0 and 1; assert graceful (matches oracle's clamped-to-0, not a huge index and not a raw negative index)	Decode `""` at toml/lexer.rs:918: bun clamps `.saturating_sub(2)`→0; a LOGOS port of `x - 2` yields -2 → different offset / index error
TRAP-07	encoding-4way	bun/src/parsers/toml/lexer.rs:73 `pub string_literal_slice: &'a [u8]` — the lexers parse `&[u8]` BYTES; JS strings are WTF-16 via bun/src/bun_core/string/mod.rs:191 `pub fn borrow_utf16(s: &[u16]) -> Self` (16-bit code UNITS, may hold lone surrogates)	LOGOS `Text` = Rust `String` = UTF-8 (lg/crates/logicaffeine_data/src/types.rs:33 `pub type Text = String;`), Text indexing is by Unicode SCALAR (lg/crates/logicaffeine_compile/src/semantics/collections.rs:49 `chars().count()`; :119 `chars().nth(idx)`)	FOUR incompatible indexing bases in the Rust source: bun's LEXERS index `&[u8]` by BYTE, bun's JS String is WTF-16 code UNITS (`&[u16]`), bun's `bun_core::String` also carries a LATIN-1 variant (mod.rs:228 `clone_latin1`, bytes 128-255 are single chars ≠ UTF-8), and LOGOS `Text` indexes by CODEPOINT. `item i of text` counts CODEPOINTS; a mechanical port of a byte offset, a UTF-16 code-unit offset, or a Latin-1 byte lands on the wrong character for any non-ASCII/astral input. Worse: Rust `String` CANNOT hold a lone surrogate, so any bun WTF-16 value with an unpaired surrogate is unrepresentable in LOGOS Text and must use bytes/Word16.	surrogate-pairs + multibyte + latin1-high-byte + lone-surrogates: generate strings with astral chars (😀 U+1F600), 2-3 byte UTF-8, Latin-1 bytes 0x80-0xFF, and unpaired D800..DFFF; diff length + nth-char + roundtrip	`"a😀b"`: bun byte-len=6, JS UTF-16 length=4, LOGOS `length`=3 (codepoints); `item 2` is 😀 in LOGOS, a lead byte in the lexer's &[u8] view
TRAP-08	encoding-surrogate	bun/src/parsers/toml/lexer.rs:1173 `let len = strings::encode_wtf8_rune(&mut part, iter.c as u32); buf.extend_from_slice(&part[0..len]);` — a decoded codepoint > U+FFFF is emitted as WTF-8 (the surrogate-pair carrier for astral chars in string cooking)	LOGOS has no code-unit surrogate concept; astral chars are single `Char`/scalar values (collections.rs chars()-based). To reproduce WTF-16 output the port must operate on `Word16` sequences, not Text.	The surrogate-splitting is invisible in a Text-based port: LOGOS treats 😀 as one scalar; JS `.length` (a UTF-16 code-unit count) sees TWO. Any routine whose OUTPUT is measured in UTF-16 units (JS `.length`, source-map columns, the `\uXXXX` escape emitter at lexer.rs:1031-1128 which accumulates a fixed-width value then `iter.c = value as CodePoint`) will be off by exactly the astral count. A LOGOS `length of text` (codepoints) silently under-reports for astral text. bun deliberately widens the `\u{…}` accumulator to `i64` (lexer.rs:1034 "so we don't risk integer overflows when people do weird things") and saturates (:1068 `saturating_mul(16)`) — that overflow-safety is invisible-to-port.	astral-plane density: strings with varying counts of >U+FFFF chars; assert JS-semantics length (UTF-16 units) and source-map column parity; drive `\u{10FFFF}` and `\u{110000}` (out-of-range at lexer.rs:1078)	`"𝕏".length` (JS)==2 (one surrogate pair); LOGOS `length`==1 → source-map column off by 1
TRAP-09	value-vs-ref	bun/src/wyhash/lib.rs:436 `self.buf[self.buf_len..self.buf_len + input.len()].copy_from_slice(input);` + :344 `self.buf[..].copy_from_slice(&b[0..off])` — `&mut self` mutates the caller-owned streaming buffer in place; and every `&mut self` method (Wyhash::update, Lexer::next) edits shared state through a reference	LOGOS collections/structs are VALUE-SEMANTIC (copy-on-write): assignment COPIES (lg/crates/logicaffeine_compile/src/semantics/collections.rs:394-395 "Value semantics is the DEFAULT (all four tiers)")	Rust mutates through `&mut T`: a `&mut self` method edits the caller's buffer; two `&mut` borrows can't coexist but a stored struct + its holder do (the `Lexer` borrows `&'a Source`, mutates `self.current`). In LOGOS, once a collection is bound to a second name (or passed/stored), a mutation COW-copies and the other holder is FROZEN. A ported algorithm relying on "mutate a builder the caller also holds" silently splits into two independent copies — the caller never sees the writes. Rust's own borrow checker forbids the aliased-&mut shape, so the naive port is where the divergence hides.	mutate-after-copy / aliased-builder: generate programs that bind ys=xs, store xs in a struct, then Push to xs; assert the alias is UNCHANGED (COW) and matches oracle only where bun also copies	`Let ys be xs. Push 99 to xs.` → LOGOS: `ys` unchanged (COW); a port assuming shared `&mut` mutation would expect `ys` to grow too
TRAP-10	value-vs-ref	bun/src/js_parser/repl_transforms.rs:512 `parts[0].stmts = bun_ast::StoreSlice::new_mut(final_slice);` — in-place overwrite of a live slot in shared arena storage; bun/src/wyhash/lib.rs:481 `scratch[0..rem].copy_from_slice(&self.buf[48 - rem..48])` in-place scratch fill	LOGOS list write `Set item i of xs to v` / SetIndex COW-copies if xs is shared (collections.rs value-semantics)	Rust `slice[i] = v` / `copy_from_slice` assume the destination is THE live buffer everyone reads. A LOGOS SetIndex on a shared list triggers copy-on-write, so mutations land on a private copy while other holders keep the old data. Divergence is silent and order-dependent (first-write-wins vs last-write-visible). Note the Rust index write ALSO carries TRAP-01 (0-based) and TRAP-06 (usize) — one line, three traps.	shared-buffer in-place write: fuzz programs that alias a list into ≥2 holders then index-write; diff every holder's post-state	`Let a be xs. Set item 1 of xs to 99. Show item 1 of a.` → LOGOS shows original (COW); a `slice[0] = 99` port expects 99
